hand,win_rate,tie_rate
22,0.5125,0.015
23o,0.2845,0.062
23s,0.3215,0.0595
24o,0.318,0.049
24s,0.3565,0.0655
25o,0.322,0.0615
25s,0.359,0.0575
26o,0.3055,0.064
26s,0.367,0.055
27o,0.327,0.0635
27s,0.348,0.0525
28o,0.334,0.058
28s,0.364,0.049
29o,0.3685,0.0565
29s,0.389,0.0445
2To,0.399,0.0435
2Ts,0.4115,0.052
2Jo,0.4075,0.045
2Js,0.4595,0.043
2Qo,0.461,0.0465
2Qs,0.485,0.035
2Ko,0.4675,0.0505
2Ks,0.5155,0.045
2Ao,0.5345,0.041
2As,0.5645,0.034
33,0.5435,0.017
34o,0.316,0.0625
34s,0.3575,0.0595
35o,0.325,0.072
35s,0.3555,0.06
36o,0.3505,0.0555
36s,0.367,0.054
37o,0.339,0.049
37s,0.3665,0.0465
38o,0.333,0.053
38s,0.3685,0.054
39o,0.3725,0.047
39s,0.4185,0.045
3To,0.385,0.042
3Ts,0.4335,0.044
3Jo,0.438,0.0525
3Js,0.467,0.04
3Qo,0.447,0.0345
3Qs,0.475,0.036
3Ko,0.4815,0.0475
3Ks,0.5135,0.0455
3Ao,0.5165,0.045
3As,0.557,0.0315
44,0.585,0.0115
45o,0.3725,0.0605
45s,0.3845,0.0515
46o,0.358,0.0595
46s,0.3735,0.0585
47o,0.3505,0.0605
47s,0.3835,0.061
48o,0.374,0.054
48s,0.407,0.0505
49o,0.3805,0.0545
49s,0.42,0.05
4To,0.414,0.0515
4Ts,0.4405,0.051
4Jo,0.4305,0.0445
4Js,0.458,0.0415
4Qo,0.4805,0.049
4Qs,0.517,0.042
4Ko,0.5025,0.0455
4Ks,0.524,0.0485
4Ao,0.565,0.0395
4As,0.564,0.044
55,0.614,0.015
56o,0.3535,0.065
56s,0.412,0.053
57o,0.3965,0.051
57s,0.398,0.06
58o,0.383,0.05
58s,0.4245,0.0495
59o,0.3945,0.054
59s,0.444,0.0495
5To,0.4505,0.041
5Ts,0.439,0.0425
5Jo,0.4595,0.049
5Js,0.4865,0.0415
5Qo,0.4805,0.046
5Qs,0.5155,0.0455
5Ko,0.508,0.0325
5Ks,0.522,0.0465
5Ao,0.556,0.0295
5As,0.5795,0.0385
66,0.628,0.011
67o,0.398,0.051
67s,0.426,0.0475
68o,0.4055,0.0505
68s,0.43,0.056
69o,0.4225,0.0405
69s,0.451,0.044
6To,0.441,0.039
6Ts,0.464,0.039
6Jo,0.4435,0.0405
6Js,0.4805,0.037
6Qo,0.4855,0.0415
6Qs,0.5015,0.041
6Ko,0.507,0.036
6Ks,0.539,0.0335
6Ao,0.556,0.0385
6As,0.5665,0.03
77,0.6605,0.0075
78o,0.424,0.047
78s,0.444,0.0485
79o,0.455,0.0425
79s,0.4735,0.0395
7To,0.4625,0.0425
7Ts,0.495,0.0385
7Jo,0.4965,0.033
7Js,0.5065,0.034
7Qo,0.502,0.042
7Qs,0.5235,0.0305
7Ko,0.5535,0.0365
7Ks,0.576,0.03
7Ao,0.5525,0.034
7As,0.5835,0.0305
88,0.704,0.006
89o,0.4745,0.042
89s,0.475,0.043
8To,0.4875,0.0335
8Ts,0.499,0.0315
8Jo,0.468,0.0365
8Js,0.5195,0.03
8Qo,0.5025,0.0355
8Qs,0.524,0.0305
8Ko,0.549,0.0395
8Ks,0.5435,0.036
8Ao,0.5875,0.0295
8As,0.6335,0.0255
99,0.7225,0.0085
9To,0.4965,0.0275
9Ts,0.53,0.03
9Jo,0.5285,0.0345
9Js,0.543,0.0315
9Qo,0.5325,0.027
9Qs,0.548,0.033
9Ko,0.57,0.031
9Ks,0.585,0.0305
9Ao,0.602,0.023
9As,0.6105,0.0215
TT,0.749,0.005
TJo,0.5415,0.0315
TJs,0.5505,0.0265
TQo,0.5565,0.0295
TQs,0.604,0.0285
TKo,0.597,0.0245
TKs,0.6065,0.0275
TAo,0.621,0.0285
TAs,0.6285,0.0195
JJ,0.777,0.007
JQo,0.576,0.0235
JQs,0.576,0.0205
JKo,0.589,0.022
JKs,0.6025,0.0145
JAo,0.631,0.021
JAs,0.63,0.0225
QQ,0.7995,0.005
QKo,0.612,0.0215
QKs,0.6355,0.018
QAo,0.632,0.02
QAs,0.654,0.0195
KK,0.8185,0.0065
KAo,0.647,0.02
KAs,0.6645,0.0175
AA,0.842,0.006
